,id,name,description,image,shortDescription,displayName,createdAt,updatedAt,Category,key,values
0,1,Mask Detection,Video analytics face mask violation ,1654249979856-142158888.jpg,,Face Mask Violation,2020-07-01T12:00:00.000Z,2022-06-03T09:52:59.000Z,Person,faceMaskDetected,"['true', 'false']"
1,2,Social Distance,Video analytics social distance violation,1654250035047-183998128.jpg,,Social Distance Violation,2020-07-01T12:00:00.000Z,2022-06-03T09:53:55.000Z,Person,socialDistancingViolation,"['true', 'false']"
2,3,Crowd,Video analytics crowd counting ,1654250059427-594976851.jpg,,Crowd Counting,2020-07-01T12:00:00.000Z,2022-06-03T09:54:19.000Z,Person,crowdAlertDetected,"['true', 'false', 'number']"
3,4,Intrusion,Video analytics  intrusion detection,1654250091848-258874769.png,,Intrusion Detection,2020-07-01T12:00:00.000Z,2022-06-03T09:54:51.000Z,Person,intruderAlertDetected,"['true', 'false']"
4,5,Facial Recognition,Video analytics  facial recognition,1654250245086-946091909.jpg,,Facial Recognition,2020-07-01T12:00:00.000Z,2022-06-03T09:57:25.000Z,Person,facialRecognitionAlert,"['true', 'false']"
5,6,Age & Gender,Video analytics  age & gender detection,1654250311534-827537464.png,,Age Gender Detection,2020-07-01T12:00:00.000Z,2022-06-03T09:58:31.000Z,Person,ageGenderAlert,"['true', 'false', 'number']"
6,7,Emotions,Video analytics emotion recognition,1654250371156-263796614.jpg,,Emotion Recognition,2020-07-01T12:00:00.000Z,2022-06-03T09:59:31.000Z,Person,emotionsdetected,"['true', 'false', 'number']"
7,8,Occupancy,Video analytics occupancy detection,1654251858511-792990250.jpg,,Occupancy Detection,2020-07-01T12:00:00.000Z,2022-06-03T10:24:18.000Z,Person,occupancydetected,"['true', 'false', 'number']"
8,9,NLP,Video analytics  nlp dashboard,1654252004352-150502374.png,,NLP Analysis,2020-07-01T12:00:00.000Z,2022-06-03T10:26:44.000Z,Person,textrecognition,"['true', 'false', 'number']"
9,10,Vehicles,Video analytics  traffic  analysis,1654252049113-827434444.jpg,,Traffic Count Analysis,2020-07-01T12:00:00.000Z,2022-06-03T10:27:29.000Z,Vehicle,vehicleAlertDetected,"['true', 'false', 'number']"
10,11,Weapon,Weapon detection and count,1654252074481-731123603.jpg,,Weapon Detection,2020-07-15T12:00:00.000Z,2022-06-03T10:27:54.000Z,Person,weaponDetected,"['true', 'false']"
11,12,Pose Detection,Video analytics pose estimation,1654252101095-137385046.png,,Pose Estimation,2020-07-15T12:00:00.000Z,2022-06-03T10:28:21.000Z,Person,poseDetected,"['true', 'false']"
12,13,License Plates Recognition,Video analytics  LPR,1654252140907-78980392.png,,License Plates Recognition,2020-07-01T12:00:00.000Z,2022-06-03T10:29:00.000Z,Person,licensePlateDetected,"['true', 'false']"
13,14,People Count,Video analytics  PC,1654252179992-203795792.jpg,,People Count,2020-07-01T12:00:00.000Z,2022-06-03T10:29:40.000Z,Person,peopleCountDetected,"['true', 'false']"
14,15,Person Fall Detection,Video analytics  PFD,1654252223989-115716605.jpg,,Person Fall Detection,2020-07-01T12:00:00.000Z,2022-06-03T10:30:24.000Z,Person,personFallDetected,"['true', 'false']"
15,16,Enter Exit,Video analytics  EEX,1654252258277-414735349.jpg,,Enter Exit,2020-07-01T12:00:00.000Z,2022-06-03T10:30:58.000Z,Person,enterExitDetected,"['true', 'false']"
16,17,Parking Slot,Video analytics  PS,1654252282063-175707264.jpg,,Parking Slot,2020-07-01T12:00:00.000Z,2022-06-03T10:31:22.000Z,Vehicle,parkingSlotDetected,"['true', 'false']"
17,18,Person  Detection,Video analytics  PD,1654252305537-439267303.png,,Person  Detection,2020-07-01T12:00:00.000Z,2022-06-03T10:31:45.000Z,Person,personDetected,"['true', 'false']"
18,19,Traffic Flow,Video analytics  TF,1654252329873-79850231.png,,Traffic Flow,2020-07-01T12:00:00.000Z,2022-06-03T10:32:09.000Z,Vehicle,trafficDetected,"['true', 'false']"
19,20,PPE,Video analytics  PPE,1654252354035-616057035.png,,PPE,2020-07-01T12:00:00.000Z,2022-06-03T10:32:34.000Z,Person,ppeAlertDetected,"['true', 'false']"
20,21,Fire Detection,Video analytics fire detection,1654252373041-734649326.png,,Fire Detection,2022-05-09T12:00:00.000Z,2022-06-03T10:32:53.000Z,Fire,fireDetected,"['true', 'false']"
21,22,Temperature Detection,Video analytics temperature detection,1654252399548-929847456.png,,Temperature Detection,2022-05-09T12:00:00.000Z,2022-06-03T10:33:19.000Z,Temperature ,temperatureDetected,"['true', 'false']"
22,24,Smoke Detection,Video analytics smoke detection,1655198858307-797812693.jpg,Fire Detection,Smoke Detection,2022-06-14T09:27:38.000Z,2022-06-14T09:27:38.000Z,fire,smokeDetected,"['true', 'false']"
